name,frequency
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Mila,332.0
Olivia,325.0
Marie,319.0
Emma,305.0
Ella,301.0
Louise,292.0
Amélie,279.0
Noor,227.0
Elena,222.0
Juliette,216.0
Anna,210.0
Nora,205.0
Elise,194.0
Liv,194.0
Lena,187.0
Alice,171.0
Julie,167.0
Renée,164.0
Lina,157.0
Lotte,147.0
Camille,145.0
Charlotte,141.0
Nina,141.0
Lily,138.0
Ellie,136.0
Mona,132.0
Sofia,130.0
Amelie,125.0
Manon,124.0
Sara,124.0
Amber,120.0
Fien,117.0
Mia,116.0
Billie,107.0
Helena,104.0
Oona,104.0
Lucie,103.0
Luna,103.0
Janne,101.0
Lou,101.0
Axelle,99.0
Esmée,99.0
Ellis,98.0
Nore,96.0
Fleur,94.0
Emilia,92.0
Rosalie,92.0
Laura,91.0
Amira,89.0
Chloé,89.0
Julia,87.0
Lara,86.0
Kato,83.0
Lore,82.0
Zoë,82.0
Eva,81.0
Sophia,81.0
Stella,80.0
Inaya,79.0
Roos,79.0
Noa,77.0
Lize,76.0
Hannah,74.0
Lisa,74.0
Fran,73.0
Féline,73.0
Victoria,73.0
Hanne,72.0
Sam,72.0
Estelle,71.0
Maria,71.0
Jade,68.0
Leonie,68.0
Tess,68.0
Céleste,67.0
Anaïs,66.0
Odette,65.0
Lea,64.0
Emily,63.0
Hailey,63.0
Romy,63.0
Sarah,63.0
Amelia,62.0
Lio,62.0
Amina,61.0
Flo,61.0
Aline,60.0
Marie-Lou,60.0
Rosie,59.0
Alix,58.0
Marilou,57.0
Yara,57.0
June,56.0
Lia,56.0
Linde,56.0
Flore,55.0
Febe,54.0
Hanna,54.0
Elif,53.0
Lauren,53.0
Alicia,52.0
Aya,52.0
Eline,52.0
Elisa,52.0
Laure,52.0
Maryam,52.0
Clara,51.0
Pippa,51.0
Sienna,51.0
Norah,50.0
Aurélie,49.0
